date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:25	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-5c01b2e3a6ac3%22	https://preview.colorlib.com/robots.txt		(from )
12:20:25	37106/37106	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:25%20GMT	https://preview.colorlib.com/theme/eroo/	C:/My%20Web%20Sites/grnew1/preview.colorlib.com/theme/eroo/index.html	(from )
12:20:25	31000/31000	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:55%20GMT	https://assets/css/font-awesome.min.css	C:/My%20Web%20Sites/grnew1/assets/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/eroo/)
12:20:25	3228/3228	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2016%20Dec%202021%2006:50:25%20GMT	https://preview.colorlib.com/cdn-cgi/zaraz/s.js?	C:/My%20Web%20Sites/grnew1/preview.colorlib.com/cdn-cgi/zaraz/sd41d.js	(from https://preview.colorlib.com/theme/eroo/)
12:20:26	157242/157242	---MCZ	200	added ('OK')	text/css	etag:W/%220%22	https://assets/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.qYAqQvmw7l.css	C:/My%20Web%20Sites/grnew11/assets/css/animate.css+owl.carousel.min.css+owl.theme.default.min.css+magnific-popup.css+flaticon.css+style.css.pagespeed.cc.qYAqQvmw7l.css	(from https://preview.colorlib.com/theme/eroo/)
12:20:26	37350/37350	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:26%20GMT	https://index.html	C:/My%20Web%20Sites/grnew1/index-2.html	
12:20:26	27866/27866	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:26%20GMT	https://about.html	C:/My%20Web%20Sites/grnew1/about.html	
12:20:26	15968/15968	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:26%20GMT	https://pricing.html	C:/My%20Web%20Sites/grnew1/pricing.html	
12:20:27	14589/14589	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:27%20GMT	https://portfolio.html	C:/My%20Web%20Sites/grnew1/portfolio.html	
12:20:27	17421/17421	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:27%20GMT	https://blog.html	C:/My%20Web%20Sites/grnew1/blog.html	
12:20:27	12335/12335	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:27%20GMT	https://contact.html	C:/My%20Web%20Sites/grnew1/contact.html	
12:20:28	282241/282241	---M--	200	added ('OK')	image/jpeg	etag:%2244e81-5bcddb8a45f84%22	https://assets/images/bg_1.jpg	C:/My%20Web%20Sites/grnew1/assets/images/bg_1.jpg	(from https://assets/)
12:20:28	299263/299263	---M--	200	added ('OK')	image/jpeg	etag:%22490ff-5bcddb8bf2acd%22	https://assets/images/bg_2.jpg	C:/My%20Web%20Sites/grnew1/assets/images/bg_2.jpg	(from https://assets/)
12:20:29	187479/187479	---M--	200	added ('OK')	image/jpeg	etag:%222dc57-5bcddb9cd1f4b%22	https://assets/images/about-1.jpg	C:/My%20Web%20Sites/grnew1/assets/images/about-1.jpg	(from https://assets/)
12:20:29	156929/156929	---M--	200	added ('OK')	image/jpeg	etag:%2226501-5bcddb99da333%22	https://assets/images/about-2.jpg	C:/My%20Web%20Sites/grnew1/assets/images/about-2.jpg	(from https://assets/)
12:20:29	276397/276397	---M--	200	added ('OK')	image/jpeg	etag:%22437ad-5bcddb8a3b3a4%22	https://assets/images/bg_4.jpg	C:/My%20Web%20Sites/grnew1/assets/images/bg_4.jpg	(from https://assets/)
12:20:30	72172/72172	---M--	200	added ('OK')	image/jpeg	etag:%22119ec-5bcddb92bafb2%22	https://assets/images/staff-2.jpg	C:/My%20Web%20Sites/grnew1/assets/images/staff-2.jpg	(from https://assets/)
12:20:30	110740/110740	---M--	200	added ('OK')	image/jpeg	etag:%221b094-5bcddb96230a5%22	https://assets/images/staff-1.jpg	C:/My%20Web%20Sites/grnew1/assets/images/staff-1.jpg	(from https://assets/)
12:20:31	67264/67264	---M--	200	added ('OK')	image/jpeg	etag:%22106c0-5bcddb957a18e%22	https://assets/images/staff-3.jpg	C:/My%20Web%20Sites/grnew1/assets/images/staff-3.jpg	(from https://assets/)
12:20:31	60238/60238	---M--	200	added ('OK')	image/jpeg	etag:%22eb4e-5bcddb98b4422%22	https://assets/images/staff-4.jpg	C:/My%20Web%20Sites/grnew1/assets/images/staff-4.jpg	(from https://assets/)
12:20:32	156863/156863	---M--	200	added ('OK')	image/jpeg	etag:%22264bf-5bcddb9b07f43%22	https://assets/images/staff-5.jpg	C:/My%20Web%20Sites/grnew1/assets/images/staff-5.jpg	(from https://assets/)
12:20:32	15330/15330	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:32%20GMT	https://portfolio-single.html	C:/My%20Web%20Sites/grnew1//portfolio-single.html	
12:20:32	379232/379232	---M--	200	added ('OK')	image/jpeg	etag:%225c960-5bcddb9751c55%22	https://assets/images/work-1.jpg	C:/My%20Web%20Sites/grnew1/assets/images/work-1.jpg	(from https://assets/)
12:20:32	95541/95541	---M--	200	added ('OK')	image/jpeg	etag:%2217535-5bcddb9385208%22	https://assets/images/work-2.jpg	C:/My%20Web%20Sites/grnew1/assets/images/work-2.jpg	(from https://assets/)
12:20:32	167119/167119	---M--	200	added ('OK')	image/jpeg	etag:%2228ccf-5bcddb94dfcd6%22	https://assets/images/work-3.jpg	C:/My%20Web%20Sites/grnew1/assets/images/work-3.jpg	(from https://assets/)
12:20:33	140096/140096	---M--	200	added ('OK')	image/jpeg	etag:%2222340-5bcddb98ad6c3%22	https://assets/images/work-4.jpg	C:/My%20Web%20Sites/grnew1/assets/images/work-4.jpg	(from https://assets/)
12:20:33	118522/118522	---M--	200	added ('OK')	image/jpeg	etag:%221cefa-5bcddb9a3310e%22	https://assets/images/work-5.jpg	C:/My%20Web%20Sites/grnew1/assets/images/work-5.jpg	(from https://assets/)
12:20:34	36090/36090	---M--	200	added ('OK')	image/jpeg	etag:%228cfa-5bcddb9260297%22	https://assets/images/person_1.jpg	C:/My%20Web%20Sites/grnew1/assets/images/person_1.jpg	(from https://assets/)
12:20:34	318606/318606	---M--	200	added ('OK')	image/jpeg	etag:%224dc8e-5bcddb9e598d7%22	https://assets/images/work-6.jpg	C:/My%20Web%20Sites/grnew1/assets/images/work-6.jpg	(from https://assets/)
12:20:34	47939/47939	---M--	200	added ('OK')	image/jpeg	etag:%22bb43-5bcddb9157845%22	https://assets/images/person_2.jpg	C:/My%20Web%20Sites/grnew1/assets/images/person_2.jpg	(from https://assets/)
12:20:34	35096/35096	---M--	200	added ('OK')	image/jpeg	etag:%228918-5bcddb8f5ea3f%22	https://assets/images/person_3.jpg	C:/My%20Web%20Sites/grnew1/assets/images/person_3.jpg	(from https://assets/)
12:20:34	19813/19813	---MCZ	200	added ('OK')	text/html	date:Thu,%2016%20Dec%202021%2006:50:34%20GMT	https://blog-single.html	C:/My%20Web%20Sites/grnew1/blog-single.html	
12:20:35	87550/87550	---M--	200	added ('OK')	image/jpeg	etag:%22155fe-5bcddb8f2ae22%22	https://assets/images/image_1.jpg	C:/My%20Web%20Sites/grnew1/assets/images/image_1.jpg	(from https://assets/)
12:20:35	75838/75838	---M--	200	added ('OK')	image/jpeg	etag:%221283e-5bcddb8cbade3%22	https://assets/images/image_2.jpg	C:/My%20Web%20Sites/grnew11/assets/images/image_2.jpg	(from https://assets/)
12:20:35	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261b75920-4d7%22	https://assets/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/grnew1/assets/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://assets/)
12:20:35	66308/66308	---M--	200	added ('OK')	image/jpeg	etag:%2210304-5bcddb8df4572%22	https://assets/images/image_3.jpg	C:/My%20Web%20Sites/grnew1/assets/images/image_3.jpg	(from https://assets/)
12:20:36	92689/92689	---MCZ	200	added ('OK')	application/javascript	etag:W/%220-gzip%22	https://assets/js/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js.pagespeed.jc.4infH6hayr.js	C:/My%20Web%20Sites/grnew1/assets/js/jquery-migrate-3.0.1.min.js+popper.min.js+bootstrap.min.js.pagespeed.jc.4infH6hayr.js	(from https://assets/)
12:20:36	268038/268038	---MCZ	200	added ('OK')	application/javascript	etag:W/%2241706-5bcddba5365db-gzip%22	https://assets/js/jquery.min.js	C:/My%20Web%20Sites/grnew1/assets/js/jquery.min.js	(from https://assets/)
